caseref2,hearingref2,hearingstatus,timestamp,versionnumber
1704721268707294,2900062382,HEARING_REQUESTED,2024-01-24T18:10:33.641801244,1
1704721275735098,2900062383,HEARING_REQUESTED,2024-01-24T18:10:37.111269378,1
1704721272643931,2900062384,HEARING_REQUESTED,2024-01-24T18:10:38.603151005,1
1704721278821424,2900062385,HEARING_REQUESTED,2024-01-24T18:10:40.358496555,1
1704721282843422,2900062386,HEARING_REQUESTED,2024-01-24T18:10:41.058799437,1
1704721286089477,2900062387,HEARING_REQUESTED,2024-01-24T18:10:41.909119994,1
1704721291816831,2900062388,HEARING_REQUESTED,2024-01-24T18:10:46.18191766,1
1704721288736075,2900062389,HEARING_REQUESTED,2024-01-24T18:10:49.162076175,1
1704721294905508,2900062391,HEARING_REQUESTED,2024-01-24T18:10:51.258428957,1
1704721301188080,2900062392,HEARING_REQUESTED,2024-01-24T18:10:53.806980105,1
1704721298283399,2900062393,HEARING_REQUESTED,2024-01-24T18:10:55.163340604,1
1704721304313180,2900062394,HEARING_REQUESTED,2024-01-24T18:10:55.835178644,1
1704721308228558,2900062396,HEARING_REQUESTED,2024-01-24T18:10:57.60052984,1
1704721311063380,2900062398,HEARING_REQUESTED,2024-01-24T18:11:01.450376737,1
1704721320818550,2900062399,HEARING_REQUESTED,2024-01-24T18:11:03.438849841,1
1704721314750587,2900062400,HEARING_REQUESTED,2024-01-24T18:11:04.447197065,1
1704721323784130,2900062401,HEARING_REQUESTED,2024-01-24T18:11:06.359792306,1
1704721326833538,2900062402,HEARING_REQUESTED,2024-01-24T18:11:06.583568211,1
1704721317504445,2900062403,HEARING_REQUESTED,2024-01-24T18:11:06.687208762,1
1704721329928590,2900062406,HEARING_REQUESTED,2024-01-24T18:11:09.802848692,1
1704721333399655,2900062407,HEARING_REQUESTED,2024-01-24T18:11:15.280262838,1
1704721339635649,2900062408,HEARING_REQUESTED,2024-01-24T18:11:17.02201261,1
1704721336233257,2900062409,HEARING_REQUESTED,2024-01-24T18:11:17.139578652,1
1704721342904479,2900062410,HEARING_REQUESTED,2024-01-24T18:11:20.1570373,1
1704721345788663,2900062411,HEARING_REQUESTED,2024-01-24T18:11:22.05654604,1
1704721348575844,2900062414,HEARING_REQUESTED,2024-01-24T18:11:23.791082667,1
1704721351552797,2900062415,HEARING_REQUESTED,2024-01-24T18:11:26.170356063,1
1704721354532358,2900062416,HEARING_REQUESTED,2024-01-24T18:11:28.592107848,1
1704721357382736,2900062417,HEARING_REQUESTED,2024-01-24T18:11:31.947085908,1
1704721360182834,2900062419,HEARING_REQUESTED,2024-01-24T18:11:33.049847178,1
1704721363744440,2900062420,HEARING_REQUESTED,2024-01-24T18:11:33.79647338,1
1704721366785036,2900062422,HEARING_REQUESTED,2024-01-24T18:11:35.214429961,1
1704721369775448,2900062423,HEARING_REQUESTED,2024-01-24T18:11:36.439185098,1
1704721372709095,2900062424,HEARING_REQUESTED,2024-01-24T18:11:39.542087329,1
1704721376038491,2900062425,HEARING_REQUESTED,2024-01-24T18:11:41.10558587,1
1704721379164385,2900062427,HEARING_REQUESTED,2024-01-24T18:11:43.961464098,1
1704721382265815,2900062428,HEARING_REQUESTED,2024-01-24T18:11:45.081116995,1
1704721385339278,2900062429,HEARING_REQUESTED,2024-01-24T18:11:48.00127428,1
1704721388742718,2900062430,HEARING_REQUESTED,2024-01-24T18:11:49.916321973,1
1704721394047953,2900062431,HEARING_REQUESTED,2024-01-24T18:11:53.236325412,1
1704721397075381,2900062432,HEARING_REQUESTED,2024-01-24T18:11:54.263011509,1
1704721391385943,2900062433,HEARING_REQUESTED,2024-01-24T18:11:56.207927819,1
1704721399866050,2900062435,HEARING_REQUESTED,2024-01-24T18:11:58.469788742,1
1704721402446197,2900062436,HEARING_REQUESTED,2024-01-24T18:11:59.400609732,1
1704721407925096,2900062437,HEARING_REQUESTED,2024-01-24T18:12:01.738563835,1
1704721405318344,2900062438,HEARING_REQUESTED,2024-01-24T18:12:03.468502445,1
1704721412009233,2900062440,HEARING_REQUESTED,2024-01-24T18:12:04.559778457,1
1704721416500377,2900062442,HEARING_REQUESTED,2024-01-24T18:12:06.354208808,1
1704721419449630,2900062443,HEARING_REQUESTED,2024-01-24T18:12:08.588839365,1
1704721422978682,2900062444,HEARING_REQUESTED,2024-01-24T18:12:10.053663727,1
1704721426237028,2900062445,HEARING_REQUESTED,2024-01-24T18:12:12.690108618,1
1704721429603978,2900062447,HEARING_REQUESTED,2024-01-24T18:12:14.339047243,1
1704721432435194,2900062448,HEARING_REQUESTED,2024-01-24T18:12:17.793131152,1
1704721441425053,2900062449,HEARING_REQUESTED,2024-01-24T18:12:20.456299597,1
1704721438961151,2900062450,HEARING_REQUESTED,2024-01-24T18:12:20.594866344,1
1704721435077597,2900062451,HEARING_REQUESTED,2024-01-24T18:12:23.20292179,1
1704721445257908,2900062452,HEARING_REQUESTED,2024-01-24T18:12:25.607470686,1
1704721452157983,2900062454,HEARING_REQUESTED,2024-01-24T18:12:30.553362755,1
1704721448256865,2900062455,HEARING_REQUESTED,2024-01-24T18:12:30.906538725,1
1704721458391958,2900062457,HEARING_REQUESTED,2024-01-24T18:12:31.254077941,1
1704721455653020,2900062458,HEARING_REQUESTED,2024-01-24T18:12:33.296962055,1
1704721461749531,2900062460,HEARING_REQUESTED,2024-01-24T18:12:35.712008681,1
1704721464759438,2900062461,HEARING_REQUESTED,2024-01-24T18:12:36.010464047,1
1704721467677249,2900062464,HEARING_REQUESTED,2024-01-24T18:12:41.159759876,1
1704721477394231,2900062465,HEARING_REQUESTED,2024-01-24T18:12:41.904692764,1
